'Problem56.I01_walsh_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I01_walsh_symmetry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I01_walsh_involution' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I02_exact_gram_reduction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I03_full_sample_exact' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I04_mingo_speicher_graph_operator_specialization' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I05_mingo_speicher_bridgeless_conversion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I06_connected_even_multigraph_has_no_bridge' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I07_rank_edge_factorization_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I08_moment_cumulant_inverse' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I09_product_cumulant_connected_partition_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I10_independent_families_mixed_cumulant_vanish' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I11_projection_entry_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I12_occurrence_partitions_form_connected_even_graph' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.I13_rademacher_cumulant_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I14_walsh_translation_modulation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I15_projection_mean_and_centering' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I16_selector_quotient_degree_excess' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I17_centered_bernoulli_moment_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I18_exceptional_vertex_degree_budget' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I19_degree_four_classification_and_loop_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I20_contracted_core_encoding_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I21_euler_transition_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I22_xor_kernel_solution_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I23_pointwise_vanishing_pair_classification' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I24_large_block_and_support_rank_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I25_large_block_partition_constant_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I26_disjoint_pair_support_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I27_loop_parallel_pairing_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I28_aggregate_partition_cumulant_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I29_exact_dimension_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I30_trace_geometric_summation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I31_two_projection_block_decomposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I32_quadratic_root_even_power_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I33_bad_spectral_edge_large_root' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I34_bernoulli_failure_arithmetic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I35_uniform_key_nested_coupling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I36_sampling_sandwich_spectral_conversion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I37_binomial_tail_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I38_finite_population_second_moment_identity' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I39_rademacher_vector_fourth_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I40_operator_norm_le_frobenius' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I41_large_rank_cutoff_arithmetic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.I42_final_width_constant_assembly' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.graph_rank_contraction' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.joint_entry_cumulant_lemma' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.selector_equality_graph_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.signed_trace_proposition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.two_projection_spectral_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.bernoulli_coordinate_sampling_corollary' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.fixed_size_sampling_transfer' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.small_rank_second_moment' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.main_universal_ose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.bernoulli_coordinate_sampling_corollary_of_trace' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.signBernoulliExpectation_trace_centered_product_pow_expansion' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.trace_centeredSelector_product_pow_expansion' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.signBernoulliExpectation_trace_eq_partition_cumulant_sum' depends on axioms: [propext,
 Classical.choice,
 Quot.sound]
'Problem56.signedTrace_master_geometric_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.pair_eq_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.not_forbidden_iff_surviving' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.binary_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.entry_parts_card_pos' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.binary_odd_incidence' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paperBlock_xor_sum' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.binary_forbidden_pair' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_perm_fixedSubsets' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_relabel' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_equal_probability' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_uniform' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousCoupling' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_eval_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousUnitUniform_Iic' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousUnitUniform_Ioi' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousThreshold_fiber' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousThreshold_measurable' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousThreshold_law' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_frame_marginal' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_frame_independent' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousUnitUniform_diagonal_null' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_pair_no_tie' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_no_ties' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.continuousKey_permutation_invariant' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_keysOrdered' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_measurableSet' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.exists_measurable_keysOrdered' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_unique' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.keysOrdered_count_sandwich' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.aggregate_parameters' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.entry_weighted_count' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paperSelectorCoefficient_abs_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paper_sum_le_of_injective' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paper_product_xor_of_ne_zero' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paper_sum_injective_labels_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paper_dimension_factor' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.paperEntry_fixed_class_sum_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.entry_absolute_contribution' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.finiteNoiseFailureLaw' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.uniformProbability_bounds' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.frameFailureProbability_le_sup' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.fixed_frame_ose' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.gram_quadraticForm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.frame_isometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.compressedGram_quadraticForm' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.spectral_bound_implies_squared_edges' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.compressedGram_isHermitian' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squared_edges_iff_spectral_bound' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.fixedSubset_nonempty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.uniformProbability_true' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.uniformProbability_complement' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.fixed_frame_squared_norm_success' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreePow_above_card' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreePowerTruncation' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreeLog_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreeExp_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreeMoment_empty' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLogEmptyCoefficients' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.formalLog_factorial_coefficient' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreeLog_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
'Problem56.PaperV6.squarefreeExp_partition' depends on axioms: [propext, Classical.choice, Quot.sound]
