Independent local cached-dependency axiom audit.
COMMAND: /private/tmp/nla-campaign-toolchain/lean-4.33.1-darwin_aarch64/bin/lean reviews/semantic-chain-referee-2-evidence/Axioms.lean
'NLA.TR27.finite_coordinates' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.represents_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.represents_iff_eq_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.represents_nonzero' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.nonzero_tmul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.tensor_representatives' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneous_eval_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.cone_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.cone_smul_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.cone_projective_membership' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_span_rep' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_span_mk' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_span_range' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_cone_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.cone_rank_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_rank_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projectiveRankAtMost_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.zariskiClosure_subset' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.zariskiClosure_mono' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.nat_predicate_iff_inf_le' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.rank_minima' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.represents_smul_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.segre_mk_mem' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.segre_cone_rank' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.tensor_rank_exists' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.segre_rank_minimum' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.coneRankAtMost_smul' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneousComponent_vanishes' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneous_eval_rep_iff' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.projective_affine_border' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneous_vanishes_on_cone' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.homogeneous_mem_ideal_of_vanishes' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.admissible_points_closed' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.admissible_points_irreducible' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.admissible_points_span' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.admissible_geometry' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.transport_cone' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.transport_admissible' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.coneRankAtMost_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.affine_rank_closure_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
'NLA.TR27.coordinate_transport' depends on axioms: [propext, Classical.choice, Quot.sound]
EXIT: 0
